index,singer,time,lyric,song
,于文文,4:42," 
                       [00:00.56]于文文 - 体面
[00:01.88]作词：唐恬
[00:02.94]作曲：于文文
[00:05.97]编曲：郑楠
[00:24.12]别堆砌怀念让剧情变得狗血
[00:35.43]深爱了多年又何必毁了经典
[00:44.26]都已成年不拖不欠
[00:49.97]浪费时间是我情愿
[00:55.61]像谢幕的演员
[00:59.06]眼看着灯光熄灭
[01:06.84]来不及再轰轰烈烈
[01:12.50]就保留告别的尊严
[01:18.17]我爱你不后悔
[01:21.66]也尊重故事结尾
[01:29.38]分手应该体面
[01:32.66]谁都不要说抱歉
[01:36.50]何来亏欠
[01:38.28]我敢给就敢心碎
[01:42.17]镜头前面是
[01:44.15]从前的我们在喝彩
[01:48.32]流着泪声嘶力竭
[01:52.02]离开也很体面
[01:55.11]才没辜负这些年
[01:59.02]爱得热烈
[02:00.85]认真付出的画面
[02:04.68]别让执念毁掉了昨天
[02:09.29]我爱过你利落干脆
[02:36.85]最熟悉的街主角却换了人演
[02:48.16]我哭到哽咽
[02:50.09]心再痛就当破茧
[02:57.02]来不及再轰轰烈烈
[03:02.58]就保留告别的尊严
[03:08.22]我爱你不后悔
[03:11.96]也尊重故事结尾
[03:19.55]分手应该体面
[03:22.68]谁都不要说抱歉
[03:26.57]何来亏欠
[03:28.28]我敢给就敢心碎
[03:32.33]镜头前面是
[03:34.46]从前的我们在喝彩
[03:38.44]流着泪声嘶力竭
[03:41.99]离开也很体面
[03:45.33]才没辜负这些年爱得热烈
[03:51.04]认真付出的画面
[03:54.78]别让执念毁掉了昨天
[03:59.46]我爱过你利落干脆
[04:05.44]再见不负遇见

                    ",体面
9,胡66,3:31," 
                       [00:00.37]胡66 - 空空如也
[00:01.14]词：雪无影
[00:01.33]曲：雪无影
[00:01.51]编曲：朱鸽
[00:01.70]录音：浔浔/朱鸽
[00:02.00]混音：殇小谨
[00:02.22]吉他：朱鸽
[00:02.41]和声：皎月
[00:02.59]和声编写：皎月
[00:02.85]制作人：朱鸽
[00:03.08]配唱制作人：朱鸽
[00:03.38]录音室：1803 Studio
[00:03.60]混音室：Hot Music Studio
[00:03.86]监制：三千
[00:13.55]熟悉的陌生的这种感觉
[00:16.55]重复的曾经的那些情节
[00:19.62]也只是怀念
[00:25.80]一滴滴一点点一页一篇
[00:28.80]分手了也不过三百多天
[00:31.52]可我却害怕遇见
[00:36.53]我懵懵懂懂过了一年
[00:39.56]这一年似乎没有改变
[00:42.62]守着你离开后的世界
[00:45.03]空空如也
[00:48.77]白天和晚上都是冬夜
[00:51.87]悲伤的到来我从不拒绝
[00:56.52]反正亦是空空空空如也
[01:01.12]我懵懵懂懂过了一年
[01:04.17]徘徊在石板路的街边
[01:07.30]曾经笑容灿烂如今却空空如也
[01:13.45]一切的星光都已陨灭
[01:16.50]得过且过是我如今速写
[01:20.44]无所谓让痛重叠
[01:50.43]我懵懵懂懂过了一年
[01:53.42]这一年似乎没有改变
[01:56.51]守着你离开后的世界
[01:58.90]空空如也
[02:02.59]白天和晚上都是冬夜
[02:05.65]悲伤的到来我从不拒绝
[02:10.43]反正亦是空空空空如也
[02:14.99]我懵懵懂懂过了一年
[02:18.02]徘徊在石板路的街边
[02:21.08]曾经笑容灿烂如今却空空如也
[02:27.29]一切的星光都已陨灭
[02:30.35]得过且过是我如今速写
[02:34.30]无所谓让痛重叠
[02:39.62]我懵懵懂懂过了一年
[02:42.63]这一年似乎没有改变
[02:45.68]守着你离开后的世界
[02:48.13]空空如也
[02:51.87]白天和晚上都是冬夜
[02:54.88]悲伤的到来我从不拒绝
[02:59.64]反正亦是空空空空如也
[03:04.20]我懵懵懂懂过了一年
[03:07.19]徘徊在石板路的街边
[03:10.29]曾经笑容灿烂如今却空空如也
[03:16.46]一切的星光都已陨灭
[03:19.51]得过且过是我如今速写
[03:23.51]无所谓让痛重叠

                    ",空空如也
8,打扰一下乐团,4:26," 
                       [00:00.10]打扰一下乐团 - 平凡之路(合唱版)
[00:19.84]徘徊着的 在路上的
[00:27.31]你要走吗
[00:29.54]v啊v啊
[00:34.43]易碎的
[00:36.76]骄傲着
[00:41.61]那也曾是我的模样
[00:50.57]沸腾着的
[00:52.48]不安着的
[00:58.26]你要去哪
[01:00.53]v啊v啊
[01:05.97]谜一样的
[01:08.09]沉着的
[01:13.72]故事你真的在听吗
[01:21.61]我曾经跨过山河大海
[01:27.15]也穿过人山人海
[01:30.38]我曾经拥有这一切
[01:34.54]转眼都飘散如烟
[01:37.88]我曾经失落失望失掉所有方向
[01:45.38]直到看见平凡才是唯一的答案
[01:54.89]当你仍然还在欢笑
[02:01.69]你的明天
[02:04.02]v啊v啊
[02:09.34]他会好吗
[02:11.37]还是更烂
[02:16.59]对我而言是另一天
[02:24.90]这样吧
[02:27.77]下面这个段
[02:29.75]几十秒
[02:30.83]让我们把手机的录像关掉
[02:33.95]不给别人看
[02:35.16]这几十秒只属于我们
[02:37.18]和打扰一下的爱人
[02:39.01]我们 啧
[02:40.36]在北京经常雾霾
[02:41.92]很少看到星空
[02:43.08]今天天星空非常的晴朗
[02:44.99]但这一刻我们也看不到
[02:46.67]但不仿就让你们为我们制作一片
[02:49.74]属于打扰一下的星海
[02:51.80]好不好
[02:52.88]好
[02:53.67]打开你们手机最洋气的一个功能
[02:57.18]电棒
[02:58.29]哈哈哈哈
[03:00.12]谢谢~谢谢
[03:02.49]明年我们还会在北京开演唱会
[03:05.91]带入我们的新专辑
[03:07.46]希望到时候你们还会来
[03:09.73]好不好
[03:10.75]好
[03:11.21]到时候还没买手机的同学
[03:13.60]记得买手机
[03:14.57]哈哈哈哈哈
[03:15.57]到这个环节一起打开
[03:17.30]好不好
[03:18.08]好
[03:18.29]准备好了吗
[03:20.31]让我们一起来唱
[03:22.06]平凡之路
[03:26.95]我 曾经
[03:29.87]跨过山和大海
[03:32.30]也穿过人山人海
[03:35.28]我曾经拥有这一切
[03:39.17]转眼都飘散如烟
[03:42.52]我曾经失落失望失掉所有方向
[03:50.06]直到看见平凡才是唯一的答案
[03:56.70]我曾经跨过山和大海
[04:00.52]也穿过人山人海
[04:03.69]我曾经拥有这一切
[04:07.42]转眼都飘散如烟
[04:10.56]我曾经失落失望失掉所有方向
[04:18.13]直到看见平凡才是唯一的答案

                    ",平凡之路 (合唱版)
13,新乐尘符,3:19," 
                       [00:00.28]新乐尘符 - 123我爱你
[00:00.89]词：孟君酱
[00:01.07]曲：江潮
[00:01.22]编曲：江潮
[00:01.40]吉他：蔡剑
[00:01.59]混音：ET
[00:12.84]轻轻贴近你的耳朵
[00:15.91]擦浪嘿哟
[00:18.04]情话永远不嫌太多
[00:20.46]对你说
[00:24.05]一全听你的
[00:26.68]二给你好的
[00:29.16]数到三永远爱你一个
[00:34.76]四不会犯错
[00:37.46]五不会啰嗦
[00:39.84]每天为你打 call
[00:41.48]Cook也不错
[00:44.82]轻轻贴近你的耳朵
[00:48.08]擦浪嘿哟
[00:50.05]情话永远不嫌太多
[00:52.46]对你说
[00:55.38]打开你的爱情手册
[00:58.74]就在此刻
[01:00.75]为你唱的专属情歌
[01:03.12]要记得
[01:17.49]说你想说的
[01:19.83]做你想做的
[01:22.45]别怕失败因为你有我
[01:28.33]陪你看日落
[01:30.73]陪你等雨过
[01:33.10]陪你一起唱完
[01:34.83]我们爱的歌
[01:38.14]轻轻贴近你的耳朵
[01:41.82]擦浪嘿哟
[01:43.38]情话永远不嫌太多
[01:45.81]对你说
[01:48.68]打开你的爱情手册
[01:52.08]就在此刻
[01:54.11]为你唱的专属情歌
[01:56.48]要记得
[02:10.55]我轻轻靠近你的耳朵
[02:11.95]说爱你不嫌太多
[02:13.32]如果相遇的几率
[02:14.41]亿万分之一那么多
[02:15.97]请相信我的真真真心
[02:17.41]比宇宙还辽阔
[02:18.62]我会牵着你的手
[02:19.92]直到你全部接受
[02:21.08]我靠近你的耳朵
[02:24.09]擦浪嘿哟 hu
[02:31.42]打开你的爱情手册
[02:34.75]就在此刻
[02:36.81]为你唱的专属情歌
[02:39.10]要记得
[02:42.18]我轻轻靠近你的耳朵
[02:44.03]说爱你不嫌太多
[02:45.33]如果相遇的几率
[02:46.43]亿万分之一那么多
[02:48.04]请相信我的真真真心
[02:49.43]比宇宙还辽阔
[02:50.66]我会牵着你的手
[02:51.98]直到你全部接受
[02:53.06]打开你的爱情手册
[02:56.13]就在这一刻
[02:58.09]这首专属情歌
[03:00.44]请记得

                    ",123我爱你
15,林俊杰,4:41," 
                       [00:00.60]林俊杰 - 醉赤壁
[00:01.60]词：方文山
[00:02.60]曲：林俊杰
[00:25.22]落叶堆积了好几层
[00:29.04]而我踩过青春
[00:32.05]听见
[00:33.90]前世谁在泪语纷纷
[00:40.17]一次缘分结一次绳
[00:43.83]我今生还在等
[00:46.60]一世 就只能有一次的认真
[00:55.89]确认过眼神
[00:58.28]我遇上对的人
[01:01.72]我挥剑转身
[01:04.22]而鲜血如红唇
[01:08.31]前朝记忆渡红尘
[01:11.16]伤人的不是刀刃
[01:14.79]是你转世而来的魂
[01:19.25]确认过眼神
[01:21.58]我遇上对的人
[01:24.95]我策马出征
[01:27.62]马蹄声如泪奔
[01:31.30]青石板上的月光照进这山城
[01:37.91]我一路的跟
[01:39.61]你轮回声
[01:41.11]我对你用情极深
[02:08.07]洛阳城旁的老树根
[02:11.40]像回忆般延伸
[02:14.43]你问 经过是谁的心跳声
[02:22.28]我拿醇酒一坛饮恨
[02:26.12]你那千年眼神
[02:29.02]是我
[02:30.15]醉醉坠入赤壁的 伤痕
[02:38.36]确认过眼神
[02:41.36]我遇上对的人
[02:44.10]我挥剑转身
[02:46.55]而鲜血如红唇
[02:50.57]前朝记忆渡红尘
[02:53.78]伤人的不是刀刃
[02:57.13]是你转世而来的魂
[03:01.51]确认过眼神
[03:04.26]我遇上对的人
[03:07.19]我策马出征
[03:09.99]马蹄声如泪奔
[03:13.73]青石板上的月光照进这山城
[03:20.29]我一路的跟
[03:22.04]你轮回声 我对你用情极深
[03:30.84]确认过眼神
[03:33.54]我遇上对的人
[03:36.70]我策马出征
[03:39.16]马蹄声如泪奔
[03:42.82]青石板上的月光照进这山城
[03:49.69]我一路的跟
[03:51.34]你轮回声
[03:52.79]我对你用情极深
[03:58.64]我一路的跟
[04:00.24]你轮回声
[04:01.89]我对你用情极深

                    ",醉赤壁
10,鞠文娴,4:07," 
                       [00:00.41]鞠文娴 - BINGBIAN病变
[00:00.17]词：Cubi/Fi9
[00:00.27]曲：Jurrivh
[00:16.48]有天我睡醒看到我的身边没有你
[00:20.64]在我的右边是你曾经喜欢的玩具
[00:24.80]可当我站起身来在房间里寻找你
[00:29.03]留下的只有带着你味道的一封信
[00:33.49]就在昨天还一起看我们的照片
[00:37.59]可现在让我感觉像烂剧里的主演
[00:41.80]为什么这种事情会发生在我身边
[00:46.05]是不是老天没能看到对你的疯癫
[00:51.52]还想着创造你的宇宙
[00:53.53]但现在已经被我清空
[00:55.70]你让我整个人都冰冻
[00:57.71]还怎么再次为你心动
[00:59.86]Wake up me
[01:00.69]不是你的意愿
[01:02.09]离开我开始新的起点
[01:04.18]可能我还会对你贪恋
[01:06.38]谁让你曾经让我疯癫
[01:08.21]疯癫那也是过去的画面
[01:11.65]看往后的几天
[01:13.69]我猜你也不会出现
[01:15.82]我回想这几年
[01:17.85]就像是要命的病变
[01:20.07]你可能听不见
[01:22.38]来自他对你的挂念
[01:24.67]可能有点累
[01:25.98]觉得对不对
[01:27.00]这是第几次在为你宿醉
[01:29.04]没了我肩膀
[01:30.22]你在谁身旁
[01:31.30]买的礼物都变成了灰
[01:33.08]曾经我多想
[01:34.42]把你变漂亮
[01:35.42]看着别人羡慕你的模样
[01:37.80]没关系有小熊陪着你看月亮
[01:41.26]我已经看到跟你断电的过程
[01:43.90]但我假装看不见
[01:45.71]是不是要变得像个厉鬼
[01:47.87]才能进入你的世界
[01:49.85]为什么不说再见
[01:51.37]我猜你应该是不小心地忘记
[01:54.21]都无所谓也有点累
[01:56.18]也可以开始新的记忆
[01:58.46]有天我睡醒看到我的身边没有你
[02:02.50]在我的右边是你曾经喜欢的玩具
[02:06.63]可当我站起身来在房间里寻找你
[02:11.04]留下的只有带着你味道的一封信
[02:15.35]就在昨天还一起看我们的照片
[02:19.51]可现在让我感觉像烂剧里的主演
[02:24.00]为什么这种事情会发生在我身边
[02:27.92]是不是老天没能看到对你的疯癫
[02:32.38]我不能够停止啊
[02:34.42]这些年我对你的疯癫
[02:36.34]还会戴上那条围巾吗
[02:38.78]在每一个寒风刺骨的冬天
[02:41.18]还有每次送你在回家的路上
[02:43.12]不经意间触碰到你的手
[02:44.94]你穿裙子眨眼睛望着我
[02:47.68]那些让我心动的瞬间
[02:49.63]那条十字路口
[02:51.38]始终有你身上的气味
[02:54.05]车水马龙过后的路灯下的身影
[02:57.22]又会是谁
[02:58.47]可是我真的喜欢你
[03:00.49]但是每次欲言又闭嘴
[03:02.69]那时荒唐的男孩
[03:04.81]又浑浊了几岁
[03:06.45]有天我睡醒看到我的身边没有你
[03:10.44]在我的右边是你曾经喜欢的玩具
[03:14.74]可当我站起身来在房间里寻找你
[03:19.00]留下的只有带着你味道的一封信
[03:23.47]就在昨天还一起看我们的照片
[03:27.50]可现在让我感觉像烂剧里的主演
[03:31.67]为什么这种事情会发生在我身边
[03:35.96]是不是老天没能看到对你的疯癫

                    ",BINGBIAN病变 (女声版)
12,广东雨神,3:34," 
                       [00:00.03]广东雨神 - 广东爱情故事
[00:02.61]词：广东雨神
[00:03.83]曲：广东雨神
[00:18.87]安静地离去
[00:21.66]和孤单一起
[00:26.47]拥挤的回忆时间抹去
[00:33.26]人在广东已经漂泊十年
[00:36.32]有时也怀念当初一起
[00:38.41]经已改变
[00:40.88]让这天空将你我相连
[00:44.00]怀念你走了云的天空还任性
[00:51.48]是否它相信在乎
[00:53.10]反而容易放弃
[00:55.92]非要最后一无所有
[00:59.01]才无所畏惧
[01:08.94]我知道好多时候
[01:11.88]爱一个人是没任何理由的
[01:15.92]你同其他女子不一样的
[01:18.54]你从来都不问我钟意你什么
[01:21.49]反而我成日都问你
[01:24.96]你究竟钟意我什么
[01:33.79]笑的多一些改变要彻底
[01:41.34]直面这世界真假游戏
[01:48.24]人在广东已经漂泊十年
[01:51.34]有时也怀念当初一起
[01:53.55]经已改变
[01:55.81]让这天空将你我相连
[01:59.23]怀念你走了云的天空还任性
[02:06.41]是否它相信下一次的相遇
[02:10.83]就算最后一无所有
[02:13.83]也无所畏惧
[02:18.78]相信你就如当初一起
[02:22.24]行过广东这十年幸福走了
[02:28.14]唏嘘感慨那当初
[02:33.76]相信你哪怕坚强
[02:36.44]是假装出勇敢的面具
[02:41.33]也不能少活得精彩的勇气
[02:48.34]人在广东已经漂泊十年
[02:51.30]有时也怀念当初一起
[02:53.48]经已改变
[02:55.83]让这天空将你我相连
[02:59.22]怀念你走了云的天空
[03:04.72]还任性是否它相信
[03:07.50]下一次的相遇
[03:10.84]就算最后一无所有
[03:13.78]也无所畏惧
[03:18.50]就算最后一无所有
[03:21.08]我都无所畏惧

                    ",广东爱情故事
,买辣椒也用券,5:24," 
                       [00:00.08]买辣椒也用券 - 起风了
[00:03.71]词：米果
[00:04.41]曲：高桥优
[00:28.86]这一路上走走停停
[00:31.92]顺着少年漂流的痕迹
[00:35.10]迈出车站的前一刻
[00:38.19]竟有些犹豫
[00:41.34]不禁笑这近乡情怯
[00:44.45]仍无可避免
[00:46.73]而长野的天
[00:48.28]依旧那么暖
[00:49.48]风吹起了从前
[00:52.20]从前初识这世间
[00:55.19]万般流连
[00:56.84]看着天边似在眼前
[00:59.64]也甘愿赴汤蹈火去走它一遍
[01:04.66]如今走过这世间
[01:07.69]万般流连
[01:09.36]翻过岁月不同侧脸
[01:12.10]措不及防闯入你的笑颜
[01:18.03]我曾难自拔于世界之大
[01:21.77]也沉溺于其中梦话
[01:24.95]不得真假 不做挣扎 不惧笑话
[01:30.40]我曾将青春翻涌成她
[01:33.93]也曾指尖弹出盛夏
[01:37.02]心之所动 且就随缘去吧
[01:42.85]逆着光行走 任风吹雨打
[01:59.31]短短的路走走停停
[02:02.28]也有了几分的距离
[02:05.49]不知抚摸的是故事 还是段心情
[02:11.71]也许期待的不过是 与时间为敌
[02:17.17]再次看到你
[02:18.74]微凉晨光里
[02:20.30]笑的很甜蜜
[02:22.59]从前初识这世间
[02:25.68]万般流连
[02:27.14]看着天边似在眼前
[02:30.03]也甘愿赴汤蹈火去走它一遍
[02:35.00]如今走过这世间
[02:38.01]万般流连
[02:39.71]翻过岁月不同侧脸
[02:42.46]措不及防闯入你的笑颜
[02:48.36]我曾难自拔于世界之大
[02:52.13]也沉溺于其中梦话
[02:55.35]不得真假 不做挣扎 不惧笑话
[03:00.82]我曾将青春翻涌成她
[03:04.35]也曾指尖弹出盛夏
[03:07.36]心之所动 且就随缘去吧
[03:38.30]晚风吹起你鬓间的白发
[03:42.03]抚平回忆留下的疤
[03:45.24]你的眼中 明暗交杂 一笑生花
[03:50.76]暮色遮住你蹒跚的步伐
[03:54.58]走进床头藏起的画
[03:57.67]画中的你 低着头说话
[04:03.17]我仍感叹于世界之大
[04:06.72]也沉醉于儿时情话
[04:09.76]不剩真假 不做挣扎 无谓笑话
[04:15.65]我终将青春还给了她
[04:19.14]连同指尖弹出的盛夏
[04:22.60]心之所动 就随风去了
[04:28.05]以爱之名 你还愿意吗

                    ",起风了
14,ラムジ,4:08," 
                       [00:00.43]PLANET - ラムジ
[00:01.38]詞：ラムジ
[00:02.27]曲：ラムジ
[00:10.57]どうやってこうやって
[00:14.36]またほら君と話そうか
[00:19.59]あれだってこれだって
[00:23.37]今すぐ気付いてくれ
[00:28.58]僕は君の惑星
[00:33.20]回り続けて
[00:37.69]いつも君のそばで
[00:42.25]黒点数えてたけれど
[00:47.21]サヨナラなんてないよ
[00:51.76]今日から軌道を外れんだ
[00:56.23]最後まで見送ってよ
[01:00.85]永遠に離れてくんだ
[01:05.37]ラララ
[01:33.14]どうなってこうなって
[01:36.98]結局独り伫んで
[01:42.18]失って勘づいて
[01:46.07]今さら戻れやしない
[01:51.37]君のいない場所で
[01:55.82]途方に暮れて
[02:00.37]もう一度引力を
[02:04.89]感じたかったんだけれど
[02:08.90]神様なんていないよ
[02:13.29]いつまで待っても巡回中
[02:17.79]選ばれない悲しみを
[02:22.35]何度でも噛みしめるんだ
[02:44.61]君は僕の太陽
[02:48.94]全てを燃やしたけれど
[02:53.94]サヨナラなんてないよ
[02:58.52]今日から軌道を外れんだ
[03:03.00]最後まで見送ってよ
[03:07.68]永遠に離れてくんだ
[03:12.17]ラララ
[03:21.25]ラララ

                    ",PLANET
7,南宫嘉骏、彭清,4:53," 
                       [00:00.12]南宫嘉骏、彭清 - 回忆总想哭
[00:02.28]作词：姜玉阳
[00:03.45]作曲：姜玉阳
[00:28.58]常常习惯性地想你的需要
[00:34.55]不知你现在可好
[00:39.67]换你一个微笑
[00:42.72]我愿为爱乞讨
[00:45.90]愿永远做你的依靠
[00:53.09]果然没有爱也没有了烦恼
[00:59.20]只是记忆抹不掉
[01:04.29]你烫过的衣服
[01:07.41]仿佛还有温度
[01:10.48]却抵挡不了我寒冷孤独
[01:16.95]回忆总想哭
[01:19.74]一个人太孤独
[01:22.48]这段情千山万水却迷了路
[01:28.52]千辛万苦的付出
[01:31.57]早已放弃了归路
[01:34.61]爱到深处却只剩下无助
[01:41.57]回忆总想哭
[01:44.36]一个人的幸福
[01:46.98]就像你最后给我那些叮嘱
[01:53.23]爱如何形同陌路
[01:56.27]你走有你走的苦
[01:59.29]怎知你走以后不会为我哭
[02:31.72]果然没有爱也没有了烦恼
[02:37.72]只是记忆抹不掉
[02:42.75]你烫过的衣服
[02:45.67]仿佛还有温度
[02:48.94]却抵挡不了我寒冷孤独
[02:55.44]回忆总想哭
[02:58.23]一个人太孤独
[03:00.89]这段情千山万水却迷了路
[03:06.98]千辛万苦的付出
[03:09.98]早已放弃了归路
[03:13.15]爱到深处却只剩下无助
[03:20.05]回忆总想哭
[03:22.69]一个人的幸福
[03:25.49]就像你最后给我那些叮嘱
[03:31.67]爱如何形同陌路
[03:34.72]你走有你走的苦
[03:37.76]怎知你走以后不会为我哭
[03:50.79]回忆总想哭
[03:53.58]一个人太孤独
[03:56.25]这段情千山万水却迷了路
[04:02.39]千辛万苦的付出
[04:05.39]早已放弃了归路
[04:08.53]爱到深处却只剩下无助
[04:15.44]回忆总想哭
[04:18.13]一个人的幸福
[04:20.96]就像你最后给我那些叮嘱
[04:26.97]爱如何形同陌路
[04:30.05]你走有你走的苦
[04:33.09]怎知你走以后不会为我哭
[04:39.14]怎知你走以后不会为我哭

                    ",回忆总想哭
